tripduration,starttime,stoptime,start_station_id,start station name,start station latitude,start station longitude,end_station_id,end station name,end station latitude,end station longitude,bike_id,usertype,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
498,2019-03-11 17:15:03.158,2019-03-11 17:23:21.440,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,14869,Subscriber,1956,2,start,4097967,30.144093840366352,731.3265532820899
515,2019-03-11 17:15:19.488,2019-03-11 17:23:54.704,3680.0,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,27651,Subscriber,1984,1,start,4097967,77.86315637303842,1706.3541893434244
447,2019-03-11 17:15:56.254,2019-03-11 17:23:23.759,468.0,Broadway & W 56 St,40.7652654,-73.98192338,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,15030,Subscriber,1960,1,end,4097967,1177.831265396569,30.144093840366352
786,2019-03-14 12:35:01.615,2019-03-14 12:48:08.358,385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,2021.0,W 45 St & 8 Ave,40.75929124,-73.98859651,33931,Subscriber,1977,1,start,4099052,86.91406246488344,1856.0618825133263
695,2019-03-14 12:35:22.082,2019-03-14 12:46:57.655,385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,3129.0,Queens Plaza North & Crescent St,40.75110165,-73.94073717,30086,Subscriber,1981,1,start,4099052,86.91406246488344,2296.032839426223
710,2019-03-15 14:57:26.797,2019-03-15 15:09:16.920,3459.0,E 53 St & 3 Ave,40.75763227739443,-73.96930575370789,499.0,Broadway & W 60 St,40.76915505,-73.98191841,34345,Subscriber,1951,1,start,4097374,10.789886024457687,1653.649242782173
1634,2019-03-15 17:23:01.798,2019-03-15 17:50:16.567,402.0,Broadway & E 22 St,40.7403432,-73.98955109,3690.0,Park Pl & Church St,40.71334184275907,-74.00935515761375,35238,Subscriber,1963,2,start,4098160,53.36579294847534,3387.1194060671446
1314,2019-03-15 17:28:02.431,2019-03-15 17:49:57.380,402.0,Broadway & E 22 St,40.7403432,-73.98955109,3172.0,W 74 St & Columbus Ave,40.7785669,-73.97754961,35779,Subscriber,1985,1,start,4098160,53.36579294847534,4421.36539018038
983,2019-03-15 17:33:33.579,2019-03-15 17:49:56.746,402.0,Broadway & E 22 St,40.7403432,-73.98955109,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,31797,Subscriber,1991,1,start,4098160,53.36579294847534,1824.5244422647004
564,2019-03-15 17:41:23.270,2019-03-15 17:50:48.046,402.0,Broadway & E 22 St,40.7403432,-73.98955109,3427.0,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,31900,Subscriber,1968,1,start,4098160,53.36579294847534,1812.7501152849698
499,2019-03-15 17:41:27.831,2019-03-15 17:49:47.790,362.0,Broadway & W 37 St,40.75172632,-73.98753523,402.0,Broadway & E 22 St,40.7403432,-73.98955109,21335,Subscriber,1965,2,end,4098160,1330.2974711745114,53.36579294847534
492,2019-03-15 17:42:28.163,2019-03-15 17:50:40.801,402.0,Broadway & E 22 St,40.7403432,-73.98955109,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,15637,Subscriber,1967,1,start,4098160,53.36579294847534,1812.591747503621
