tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
1825,2016-05-18 13:13:36,2016-05-18 13:44:01,352.0,W 56 St & 6 Ave,40.76340613,-73.97722479,3143.0,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,17755.0,Customer,,0.0,,,,,,,,,,,,,start,3448180,88.80746202466668,1949.1374917654043
1878,2016-05-18 13:13:45,2016-05-18 13:45:03,352.0,W 56 St & 6 Ave,40.76340613,-73.97722479,3143.0,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,19945.0,Customer,,0.0,,,,,,,,,,,,,start,3448180,88.80746202466668,1949.1374917654043
642,2016-05-18 13:45:48,2016-05-18 13:56:31,352.0,W 56 St & 6 Ave,40.76340613,-73.97722479,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,25052.0,Subscriber,1982.0,2.0,,,,,,,,,,,,,start,3448180,88.80746202466668,1147.7448797083093
1858,2016-05-18 15:38:05,2016-05-18 16:09:04,450.0,W 49 St & 8 Ave,40.76227205,-73.98788205,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,20000.0,Subscriber,1968.0,1.0,,,,,,,,,,,,,end,3447886,2349.4374201052156,37.34248767273573
764,2016-05-18 15:57:51,2016-05-18 16:10:35,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,18136.0,Subscriber,1998.0,2.0,,,,,,,,,,,,,start,3447886,37.34248767273573,1372.8790377297682
924,2016-05-18 16:10:03,2016-05-18 16:25:27,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,510.0,W 51 St & 6 Ave,40.7606597,-73.98042047,15743.0,Subscriber,1978.0,1.0,,,,,,,,,,,,,start,3447886,37.34248767273573,2396.698038899493
1135,2016-05-18 18:18:01,2016-05-18 18:36:56,379.0,W 31 St & 7 Ave,40.749156,-73.9916,3243.0,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,22569.0,Subscriber,1984.0,1.0,,,,,,,,,,,,,end,3448305,2753.1689496083804,80.782020040047
2395,2016-05-19 11:04:30,2016-05-19 11:44:25,285.0,Broadway & E 14 St,40.73454567,-73.99074142,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,25088.0,Subscriber,1961.0,1.0,,,,,,,,,,,,,end,3447632,1089.0053852960175,34.59174708906451
379,2016-05-19 11:44:20,2016-05-19 11:50:40,382.0,University Pl & E 14 St,40.73492695,-73.99200509,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,21247.0,Subscriber,1987.0,1.0,,,,,,,,,,,,,end,3447632,974.6785720566392,34.59174708906451
970,2016-05-19 20:35:57,2016-05-19 20:52:08,3154.0,E 77 St & 3 Ave,40.77314236,-73.95856158,469.0,Broadway & W 53 St,40.76344058,-73.98268129,19014.0,Subscriber,1986.0,1.0,,,,,,,,,,,,,end,3448196,2378.806297614681,93.33938672177064
1515,2016-05-19 20:53:21,2016-05-19 21:18:37,251.0,Mott St & Prince St,40.72317958,-73.99480012,500.0,Broadway & W 51 St,40.76228826,-73.98336183,22967.0,Subscriber,1987.0,2.0,,,,,,,,,,,,,end,3448196,4502.224682078871,48.069643584424284
957,2016-05-20 09:14:34,2016-05-20 09:30:32,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,478.0,11 Ave & W 41 St,40.76030096,-73.99884222,18914.0,Subscriber,1960.0,2.0,,,,,,,,,,,,,end,3447800,2368.443617301375,72.74101813180592
375,2016-05-20 12:41:10,2016-05-20 12:47:26,3177.0,W 84 St & Broadway,40.7867947,-73.977112,3176.0,W 64 St & West End Ave,40.77452835,-73.98753759,14627.0,Subscriber,1971.0,1.0,,,,,,,,,,,,,start,3448425,90.62842126113729,1544.2816562170135
1219,2016-05-20 14:49:14,2016-05-20 15:09:33,392.0,Jay St & Tech Pl,40.695065,-73.987167,386.0,Centre St & Worth St,40.71494807,-74.00234482,22242.0,Customer,,0.0,,,,,,,,,,,,,end,3447571,2565.167862917397,29.979334175819602
675,2016-05-20 20:18:46,2016-05-20 20:30:02,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,497.0,E 17 St & Broadway,40.73704984,-73.99009296,21201.0,Subscriber,1969.0,2.0,,,,,,,,,,,,,start,3447804,59.831539107649675,1345.6279156390651
877,2016-05-20 23:45:35,2016-05-21 00:00:12,254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,17716.0,Subscriber,1981.0,2.0,,,,,,,,,,,,,start,3447640,80.1612391774501,1681.1901108403279
1217,2016-05-24 18:20:21,2016-05-24 18:40:39,259.0,South St & Whitehall St,40.70122128,-74.01234218,291.0,Madison St & Montgomery St,40.713126,-73.984844,18564.0,Subscriber,1985.0,2.0,,,,,,,,,,,,,start,4023750,33.682889557068854,2670.388974142533
1661,2016-05-25 17:49:20,2016-05-25 18:17:01,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,348.0,W Broadway & Spring St,40.72490985,-74.00154702,22871.0,Subscriber,1973.0,1.0,,,,,,,,,,,,,end,3452809,4238.725287062162,51.940050208042805
